Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
39,Arcano Restaurant Barcelona ,9.2,5880,4.5,409,4.6,5471,,"Spanish, Signature Cuisine, Specialty Food","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJb-E-RfmipBIRmDyFS5ND__8,2026-03-28T21:30:59.393Z,false
40,Quimet & Quimet,9.2,5870,4.6,518,4.6,5352,,"Tapas Bars, Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJbSqmkF2ipBIROKuS4vazQO0,2026-03-28T21:30:59.393Z,false
41,Los Caracoles,8.4,5801,3.6,197,4.2,5604,,Spanish,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJKxrFyFeipBIRS6j-ZcTFJ4A,2026-03-28T21:30:59.393Z,false
42,Jacqueline Barcelona,9.2,5614,,,4.6,5614,,"Mediterranean Restaurant, Seafood Restaurant, Cocktail Bar","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJj_P_6iujpBIRhzNyXpDo0YI,2026-03-28T21:30:59.393Z,false
43,Telefèric,9.2,5515,4.2,213,4.6,5302,,"Tapas/Small Plates, Spanish, Tapas Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJqSEwwY2ipBIR_no7pQHLPbk,2026-03-28T21:30:59.393Z,false
44,Xurrería Laietana,9.4,5297,4.8,296,4.7,5001,,"Churros, Cafeteria","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJw-m_F_qipBIRMyqWzvfxE-c,2026-03-28T21:30:59.393Z,false
45,La Alcoba Azul,9.4,5253,4.6,201,4.7,5052,,"Tapas Bars, Cocktail Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ8dubNviipBIRfwWByME5Om0,2026-03-28T21:30:59.393Z,false
46,Tapeo,9.0,5225,4.6,621,4.5,4604,,"Tapas Bars, Catalan","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ0w42iv6ipBIRTXVCYDg3bCw,2026-03-28T21:30:59.393Z,false
47,Viana Barcelona,9.6,5138,4.7,121,4.8,5017,,"Spanish, Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJoW3KxVeipBIRWyvQI76z4cA,2026-03-28T21:30:59.393Z,false
48,Tuscania,9.4,5043,4.3,203,4.7,4840,,"Mediterranean, Spanish, Italian","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJlWor8tyipBIRW6Svhmt1Z28,2026-03-28T21:30:59.393Z,false
