Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
68,Ah Tai Hainanese Chicken Rice,8.8,619,4.5,75,4.4,544,$,"Chicken Shop, Hainan",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJAcXdSk4Z2jERocH0DosdBek,2026-03-28T21:30:11.066Z,false
69,Hainanese Delicacy Chicken Rice,7.7,619,4.2,43,3.8,576,$,"Chicken Shop, Hainan",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJjSLAppIZ2jERK-J-AFB2aHg,2026-03-28T21:30:11.066Z,false
70,Encore by Rhubarb,9.2,508,,,4.6,508,,French Restaurant,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJSSqJZm0Z2jEROEr3NpxAVqU,2026-03-28T21:30:11.066Z,false
71,NOBU Singapore,8.2,449,,,4.1,449,,"Peruvian Restaurant, Brunch Restaurant, Fine Dining Restaurant",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJdVbCT98Z2jERay_XQnFhtUk,2026-03-28T21:30:11.066Z,false
72,Jiang-Nan Chun,8.8,440,4.4,8,4.4,432,$$$,Chinese,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJqbrxYIwZ2jER0nv6PClRe_I,2026-03-28T21:30:11.066Z,false
73,Salt Grill & Sky Bar,8.2,428,4.0,47,4.1,381,$$$$,"Modern European, Australian",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJM5Jrm6oZ2jERwAq2x68pSpw,2026-03-28T21:30:11.066Z,false
74,Cloudstreet,9.4,378,5.0,3,4.7,375,,"Sri Lankan, Australian, Wine Bars",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJox0yPU8Z2jERHKePRm932o0,2026-03-28T21:30:11.066Z,false
75,Tamba,9.6,273,,,4.8,273,,,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJddAjwyQZ2jER_1O7DKDZhBM,2026-03-28T21:30:11.066Z,false
76,Restaurant Born,9.4,175,,,4.7,175,,Fine Dining Restaurant,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJEbQ9xpYZ2jERyBrI8a2FtEY,2026-03-28T21:30:11.066Z,false
77,SteakGrill Steakhouse Chef's Table,9.6,144,,,4.8,144,,Steak House,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJjXqNttIZ2jERhxEqjrFjnqM,2026-03-28T21:30:11.066Z,false
78,Private Dining Singapore | Avodah by Stellamoon,10.0,108,,,5.0,108,,,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJt6xIMhgZ2jERYTji1BG2WIc,2026-03-28T21:30:11.066Z,false
79,Vatos Urban Tacos,7.8,97,3.9,97,,,$$,Mexican,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJXxwygaUZ2jERGJHAfzCtMBQ,2026-03-28T21:30:11.066Z,false
80,Belly Umami,10.0,34,,,5.0,34,,,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJfX_48CwX2jERrAtLT0pYxw8,2026-03-28T21:30:11.066Z,false
