Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
47,Frenchie,9.0,2254,4.3,265,4.5,1989,,"French, Modern European","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJX8C6phdu5kcRA59bbRIGM5M,2026-03-28T21:29:03.431Z,false
48,La Pie Noir,9.6,2245,4.6,28,4.8,2217,,French,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJZY3YmuZx5kcRPMIwm6NkViI,2026-03-28T21:29:03.431Z,false
49,Sacré Frenchy !,9.4,2182,4.5,48,4.7,2134,,"French, Bars","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJTdiHcqxv5kcRVgEUqDEcnbY,2026-03-28T21:29:03.431Z,false
50,Gambino,8.6,2095,4.4,277,4.3,1818,,Italian,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJWdjWFjBu5kcR6U_dy7sjpMI,2026-03-28T21:29:03.431Z,false
51,Lapérouse,8.8,2079,3.7,17,4.4,2062,,French,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJ15uOdd9x5kcRw1GFVVp2-KA,2026-03-28T21:29:03.431Z,false
52,Bistrot Paul Bert,8.2,2052,3.7,333,4.2,1719,,Bistros,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJnYPdmaZz5kcR80ulUF3wtjQ,2026-03-28T21:29:03.431Z,false
53,Le Marais Restaurant Paris,9.2,2032,,,4.6,2032,,Mediterranean Restaurant,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJ0Y7Uk_lv5kcRxQMuMKFtVmc,2026-03-28T21:29:03.431Z,false
54,Le Tout-Paris,9.2,2026,,,4.6,2026,,French Restaurant,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJxYJUC2lv5kcRlhdpWba_aGU,2026-03-28T21:29:03.431Z,false
55,La Maison du Boulevard,9.4,1996,,,4.7,1996,,French Restaurant,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJFZAIBJVx5kcRVzImVeaKQQU,2026-03-28T21:29:03.431Z,false
56,Le Comptoir,8.1,1872,3.8,465,4.1,1407,,Bistros,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJlz74sd5x5kcRJKnMHqMw2x8,2026-03-28T21:29:03.431Z,false
57,Les Baux de Paris,9.4,1842,4.0,2,4.7,1840,,"Cocktail Bars, Tapas Bars","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJU8BNx-5x5kcRNSC_roNvBRs,2026-03-28T21:29:03.431Z,false
58,Restaurant Guy Savoy,9.4,1832,4.6,106,4.7,1726,,French,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJ64SRn-xv5kcRH7AlSsBFASQ,2026-03-28T21:29:03.431Z,false
59,L'Aubergeade,9.6,1766,4.2,50,4.8,1716,,French,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJwYSa5w1y5kcR2Xj32h0WkX0,2026-03-28T21:29:03.431Z,false
60,Le Cinq,9.2,1735,4.7,169,4.6,1566,,French,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJqTQzIehv5kcRaF3hD1SzX5A,2026-03-28T21:29:03.431Z,false
